Daynum,Last,Lblk,Ldr,Lfga,Lfga3,Lfgm,Lfgm3,Lfta,Lftm,Lor,Lpf,Lscore,Lstl,Lto,Numot,Season,Wast,Wblk,Wdr,Wfga,Wfga3,Wfgm,Wfgm3,Wfta,Wftm,Win,Wor,Wpf,Wscore,Wstl,Wto,adv
136,5,6,18,57,12,21,4,16,11,16,20,57,6,11,0,2014,9,3,24,44,17,19,6,28,17,0,9,15,61,4,12,1217
138,5,6,24,63,14,20,2,14,9,21,22,51,4,14,0,2015,10,9,26,54,15,20,4,28,20,0,12,15,64,7,7,1246
137,13,6,21,55,24,28,10,13,10,9,15,76,3,9,0,2016,13,4,19,58,24,28,9,17,13,0,10,18,78,4,6,1386
134,10,3,22,48,24,18,12,7,4,7,10,52,4,19,0,2011,17,2,25,50,13,26,4,16,14,1,4,12,70,10,12,1412
137,9,3,19,60,33,23,9,23,14,12,24,69,8,14,0,2008,8,1,31,44,13,22,7,29,24,0,5,15,75,6,19,1437
136,14,7,23,65,22,21,5,14,12,21,19,59,8,11,0,2009,16,3,24,51,26,20,10,15,12,0,9,11,62,5,14,1276
137,14,1,23,63,24,28,12,14,10,18,22,78,2,20,0,2010,21,3,21,58,17,30,5,29,21,0,9,16,86,15,9,1281
136,15,3,18,58,21,25,5,26,21,13,24,76,5,9,0,2011,15,1,23,55,13,27,5,31,25,0,14,21,84,6,11,1452
137,10,13,23,50,13,26,5,17,12,10,20,69,4,18,0,2009,15,1,18,65,15,31,6,22,16,1,14,17,84,9,6,1448
139,3,1,18,59,23,22,3,14,10,12,18,57,7,11,0,2009,12,3,27,44,11,22,3,28,24,0,6,19,71,8,11,1112
137,13,2,23,50,19,21,9,14,8,5,19,59,5,8,0,2014,16,5,28,40,17,21,8,25,20,0,0,16,70,4,7,1438
137,9,1,18,58,12,28,7,11,9,7,14,72,8,6,0,2015,14,1,24,61,27,33,11,12,9,0,12,11,86,5,9,1458
136,13,8,21,71,36,23,9,17,9,12,22,64,14,8,0,2012,12,3,37,48,12,22,7,27,17,1,9,18,68,4,23,1424
137,9,8,23,60,14,26,5,17,7,12,19,64,6,13,0,2003,16,1,28,56,13,26,7,25,20,0,10,18,79,5,11,1277
138,13,3,21,51,15,23,5,18,12,7,16,63,6,13,0,2012,15,4,24,64,20,28,11,18,13,0,17,12,80,9,11,1124
137,7,5,28,51,19,17,5,13,10,8,20,49,5,15,0,2013,10,4,26,52,31,16,8,24,17,0,11,12,57,8,12,1228
136,5,0,22,42,16,15,4,18,14,7,12,48,2,17,0,2014,18,3,24,61,14,31,4,12,11,0,9,13,77,12,3,1338
136,8,3,24,51,10,23,2,30,19,9,22,67,5,12,0,2016,8,8,25,58,17,23,6,23,22,0,11,26,74,8,10,1163
136,13,3,16,57,23,24,7,19,17,3,24,72,6,5,0,2013,10,3,30,51,14,25,7,33,27,1,12,17,84,1,14,1281
136,8,4,24,54,11,18,3,22,18,11,19,57,5,19,0,2003,4,8,27,54,13,19,4,31,25,0,13,23,67,10,16,1181
136,7,1,28,48,14,16,3,9,6,12,22,41,6,22,0,2012,9,5,22,51,17,20,5,26,13,0,10,8,58,9,8,1293
138,4,4,17,40,12,19,5,21,13,7,19,56,0,20,0,2013,14,2,19,55,9,31,5,18,15,0,10,24,82,11,9,1257
136,11,4,26,64,17,20,2,13,11,15,22,53,8,11,0,2003,8,8,29,52,14,17,4,27,20,1,12,16,58,3,14,1140
138,12,6,22,62,23,27,8,17,12,11,18,74,2,11,0,2003,12,1,26,68,10,31,6,21,17,1,17,13,85,4,9,1390
136,10,1,18,60,32,19,11,6,4,11,19,53,7,12,0,2004,14,3,31,52,14,26,6,23,12,1,11,8,70,6,13,1436
138,12,0,26,59,15,20,5,13,10,9,20,55,1,8,0,2004,15,5,31,60,16,26,5,23,15,1,13,15,72,5,5,1177
143,11,0,15,57,24,20,8,8,5,6,14,53,8,11,0,2004,14,4,33,51,17,27,6,15,13,1,11,10,73,6,18,1435
145,14,5,21,60,19,25,6,18,15,12,23,71,2,9,0,2004,17,7,25,60,17,29,10,29,19,1,15,18,87,3,7,1104
152,11,3,20,71,22,29,6,23,14,17,24,78,8,9,0,2004,9,6,31,52,11,26,6,32,21,1,13,20,79,5,18,1181
154,9,1,25,71,22,27,7,21,12,18,26,73,10,14,0,2004,10,2,32,61,17,26,5,39,25,1,18,18,82,5,16,1210
137,16,6,17,61,28,21,11,21,18,12,21,71,10,10,0,2005,17,6,29,58,6,29,3,25,16,1,14,13,77,7,13,1416
137,12,1,14,52,15,24,4,8,7,8,14,59,11,12,0,2006,17,5,21,46,16,27,8,13,10,1,7,9,72,6,16,1107
139,15,1,23,62,24,29,8,18,17,11,21,83,7,14,0,2006,16,1,22,62,13,31,4,30,21,1,13,16,87,7,12,1246
144,9,3,21,80,20,34,6,23,18,17,33,92,19,17,1,2006,15,5,32,51,19,27,10,47,34,1,10,20,98,7,26,1449
136,11,2,25,66,25,17,5,10,8,9,27,47,5,19,0,2009,28,6,41,71,24,37,6,39,23,1,17,11,103,12,10,1151
138,17,3,16,63,15,26,3,17,11,12,21,66,3,7,0,2009,20,5,27,57,10,33,5,27,21,1,12,16,92,3,9,1401
143,12,2,24,66,23,24,6,11,6,9,26,60,7,9,0,2009,19,6,34,56,8,25,3,30,19,1,14,12,72,6,13,1345
145,21,1,20,76,18,32,5,12,6,12,24,75,10,6,0,2009,15,8,36,53,12,27,2,32,26,1,11,13,82,3,17,1281
136,6,1,22,51,21,16,7,15,13,1,10,52,3,5,0,2011,20,6,36,66,24,32,9,9,8,1,13,13,81,5,6,1137
138,12,2,16,55,14,22,4,14,10,9,19,58,5,8,0,2011,10,3,26,44,16,19,6,30,25,1,9,13,69,3,9,1153
143,14,1,22,64,22,27,7,13,6,15,14,67,4,9,0,2011,13,3,26,57,16,27,8,16,12,1,9,16,74,5,9,1361
145,14,1,23,61,21,24,4,16,11,19,12,63,3,9,0,2011,10,6,20,56,17,23,5,18,14,1,11,15,65,5,5,1112
152,12,3,22,62,27,21,9,12,4,15,12,55,11,10,0,2011,16,3,32,49,12,23,1,11,9,1,6,13,56,5,15,1246
154,5,2,21,64,33,12,9,14,8,20,17,41,8,6,0,2011,6,10,36,55,11,19,1,16,14,1,17,15,53,4,11,1139
136,12,2,24,54,21,27,7,27,20,9,22,81,3,14,1,2014,13,2,22,66,24,30,11,20,18,1,12,21,89,6,9,1386
138,10,2,24,51,31,18,11,24,18,6,24,65,6,16,0,2014,10,2,29,52,20,23,9,28,22,1,7,17,77,11,11,1437
144,14,3,19,69,16,32,6,15,6,17,17,76,4,9,0,2014,9,4,26,50,19,26,9,22,20,1,5,15,81,5,9,1235
146,13,3,26,46,29,18,11,8,7,6,16,54,5,16,0,2014,8,3,23,49,22,17,5,22,21,1,7,12,60,7,8,1277
152,3,1,15,49,10,19,1,20,14,12,14,53,3,11,0,2014,12,4,23,43,12,24,5,13,10,1,5,16,63,6,13,1196
154,11,5,23,46,16,18,5,24,13,10,10,54,6,13,0,2014,8,4,26,53,19,22,6,10,10,1,8,17,60,9,10,1246
136,8,3,24,51,10,23,2,30,19,9,22,67,5,12,0,2016,8,8,25,58,17,23,6,23,22,1,11,26,74,8,10,1160
144,13,8,27,71,13,30,4,25,14,14,21,78,7,11,0,2003,13,5,31,69,18,24,5,36,29,0,21,21,82,5,10,1400
139,9,4,22,52,14,22,2,18,16,9,16,62,3,14,0,2005,13,4,19,50,20,20,10,17,15,0,7,18,65,10,13,1301
146,15,7,20,66,22,31,7,19,15,14,20,84,6,9,1,2006,13,2,22,60,18,30,9,25,17,0,15,17,86,6,11,1206
137,14,4,25,58,6,25,3,20,16,16,16,69,5,15,1,2008,13,4,19,65,12,31,4,7,4,0,12,21,70,11,11,1360
152,8,7,26,59,6,25,2,33,21,16,18,73,5,16,0,2009,18,3,24,72,19,31,6,20,14,0,18,25,82,11,11,1277
136,8,5,16,56,19,21,7,22,15,8,17,64,7,4,0,2012,10,4,29,54,16,26,6,20,19,0,12,15,77,2,11,1235
138,11,4,19,62,22,21,10,11,9,5,19,61,7,6,0,2016,14,7,36,51,17,25,6,22,17,0,8,13,73,3,13,1242
134,9,6,26,57,17,25,4,13,6,8,22,60,2,11,0,2008,10,3,28,55,20,19,5,32,26,0,13,16,69,7,11,1291
137,14,4,13,52,17,27,5,9,6,7,20,65,3,11,0,2010,10,2,20,48,23,27,9,19,15,1,10,12,78,7,11,1396
139,13,1,13,49,25,24,8,17,13,8,16,69,6,10,0,2010,14,1,20,54,15,33,8,16,13,1,9,14,87,8,8,1458
136,7,3,15,59,26,18,8,13,9,10,17,53,8,11,0,2008,20,7,34,56,18,31,8,10,7,0,13,15,77,5,19,1390
137,11,0,23,64,21,23,6,12,7,17,15,59,1,9,0,2009,19,1,28,59,20,28,5,19,17,0,9,11,78,4,4,1281
143,8,3,21,48,21,16,5,13,8,7,22,45,6,15,0,2010,15,6,28,50,16,22,2,26,16,0,13,17,62,12,13,1246
137,9,4,26,48,17,22,7,12,6,6,18,57,5,9,0,2012,14,3,24,50,21,22,9,13,5,1,7,11,58,4,7,1104
137,12,4,17,64,20,27,5,9,4,14,21,63,9,9,0,2013,16,2,25,42,15,19,7,25,22,1,7,11,67,2,16,1153
137,8,5,23,66,16,25,4,17,12,13,18,66,3,4,0,2014,18,3,30,54,23,28,9,21,11,1,6,17,76,0,6,1418
136,20,6,17,60,17,27,7,17,12,14,21,73,6,21,0,2003,15,1,20,53,7,29,3,25,18,0,11,19,79,13,18,1141
136,12,3,17,50,20,21,8,13,11,10,16,61,8,17,0,2005,19,4,21,46,20,22,8,13,11,0,8,15,63,12,16,1452
137,12,1,20,71,19,30,3,12,8,11,17,71,10,6,1,2007,16,9,33,62,20,28,7,17,14,0,15,16,77,2,19,1305
139,11,3,26,68,20,28,8,12,9,9,18,73,7,9,0,2012,16,9,33,65,16,33,8,19,13,0,11,8,87,4,9,1314
139,9,2,26,53,19,16,2,18,16,7,26,50,2,10,0,2013,9,4,31,49,20,19,7,28,21,0,7,20,66,7,9,1181
139,11,0,14,55,24,22,5,9,6,8,19,55,4,8,0,2014,19,3,27,47,18,30,11,21,14,0,5,11,85,2,8,1124
137,15,3,22,58,18,26,5,14,11,13,22,68,6,14,0,2016,15,7,21,56,20,28,11,25,15,0,10,15,82,7,10,1328
136,7,0,20,58,21,21,7,13,7,7,25,56,9,14,0,2008,13,7,32,59,16,25,3,25,18,0,18,11,71,8,17,1458
136,10,2,22,54,18,24,7,20,15,10,18,70,8,17,0,2009,19,3,23,59,28,29,11,21,12,0,12,16,81,14,14,1272
137,14,1,23,55,27,28,12,14,8,11,19,76,11,19,0,2008,18,1,19,57,22,28,11,21,15,1,10,18,82,9,14,1211
139,11,3,23,41,18,26,10,17,8,7,27,70,2,20,0,2008,10,0,16,57,28,22,6,30,24,1,12,20,74,6,5,1207
144,9,3,17,46,23,17,8,21,14,14,13,56,2,12,0,2008,18,0,17,53,24,26,12,12,9,1,11,19,73,9,7,1458
137,13,3,30,68,22,26,5,7,5,14,20,62,1,9,0,2006,10,4,28,65,22,26,5,23,13,0,15,13,70,2,4,1326
136,17,2,22,70,37,24,10,14,12,13,17,70,13,17,0,2007,19,4,35,68,17,31,6,19,14,0,19,15,82,8,22,1268
146,17,2,21,57,27,22,8,12,5,9,15,57,7,9,0,2008,12,5,28,52,14,23,5,14,8,0,10,16,59,5,14,1242
136,12,6,23,60,19,21,4,23,16,13,23,62,4,10,0,2012,8,4,27,52,5,21,1,36,26,0,13,19,69,5,10,1257
136,12,4,22,46,17,19,6,22,14,7,17,58,2,11,0,2013,5,4,24,58,15,20,4,19,15,0,17,20,59,5,9,1266
137,13,4,20,63,28,21,6,10,4,10,15,52,1,6,0,2015,12,5,32,69,16,35,6,10,7,0,14,11,83,3,5,1234
137,10,4,22,49,20,18,5,25,19,15,21,60,2,11,0,2009,14,2,19,54,10,25,4,23,14,1,13,22,68,5,9,1452
136,12,4,25,50,12,24,3,12,8,3,16,59,10,14,0,2014,12,0,24,49,13,22,3,17,13,1,4,14,60,10,13,1326
138,4,7,20,54,10,21,0,14,11,11,16,53,6,9,0,2014,12,4,24,46,16,19,7,18,10,1,11,16,55,7,14,1393
143,10,5,20,58,21,22,5,33,23,15,24,72,7,12,0,2014,19,1,25,58,23,28,8,26,18,1,10,25,82,8,10,1390
135,10,1,21,55,20,22,6,10,5,12,18,55,5,9,0,2015,13,1,22,42,21,20,7,14,9,1,3,14,56,4,11,1129
137,9,1,26,59,26,20,10,7,3,13,21,53,4,16,0,2015,9,4,29,42,23,18,8,30,22,1,3,14,66,8,12,1344
136,11,3,16,66,28,28,9,9,6,12,19,71,3,11,0,2003,18,1,26,57,12,33,8,13,10,0,8,11,84,6,12,1409
136,11,3,32,79,20,27,3,23,12,18,29,69,5,10,2,2004,13,3,38,59,13,24,5,40,23,0,11,19,76,4,11,1177
139,7,6,26,72,19,16,4,8,7,17,23,43,13,11,0,2009,9,12,39,53,16,23,3,22,11,0,11,11,60,5,17,1242
145,11,5,21,48,18,19,8,8,6,5,19,52,5,9,0,2014,10,5,25,48,15,18,5,28,21,0,12,10,62,5,7,1196
139,12,2,19,51,21,22,11,13,11,4,20,66,8,13,0,2015,13,3,25,49,18,22,9,24,19,0,10,15,72,9,15,1328
137,11,3,18,56,22,18,6,19,9,10,16,51,7,9,0,2016,10,2,32,53,22,21,8,23,20,0,16,17,70,7,15,1393
136,7,1,17,55,20,20,8,39,30,7,19,78,4,8,0,2014,16,2,32,56,19,30,10,25,23,0,10,27,93,4,14,1277
137,10,1,21,52,15,19,5,6,3,9,23,46,3,11,0,2005,9,6,27,39,20,16,6,29,19,0,5,15,57,5,8,1181
136,11,3,32,79,20,27,3,23,12,18,29,69,5,10,2,2004,13,3,38,59,13,24,5,40,23,1,11,19,76,4,11,1173
138,12,0,26,59,15,20,5,13,10,9,20,55,1,8,0,2004,15,5,31,60,16,26,5,23,15,0,13,15,72,5,5,1163
137,9,3,25,63,17,20,3,14,7,16,21,50,9,14,0,2012,12,5,33,50,16,23,5,23,14,0,7,17,65,6,14,1242
137,18,4,20,69,42,26,16,38,31,19,21,99,8,15,1,2008,18,4,28,68,28,37,14,19,13,0,13,29,101,5,22,1443
136,8,4,24,54,11,18,3,22,18,11,19,57,5,19,0,2003,4,8,27,54,13,19,4,31,25,1,13,23,67,10,16,1161
138,8,2,19,57,17,21,8,14,10,14,14,60,4,21,0,2003,14,9,23,52,15,32,10,16,12,1,4,18,86,15,11,1141
136,7,1,22,57,20,22,7,17,10,9,20,61,7,21,0,2004,19,4,29,66,26,32,9,31,23,1,17,19,96,14,14,1106
138,11,0,14,57,17,24,3,16,11,8,27,62,4,10,0,2004,16,3,29,48,11,26,4,38,34,1,11,18,90,3,10,1371
144,17,2,22,64,13,26,4,11,6,14,15,62,5,12,0,2004,19,5,24,51,18,28,6,15,10,1,5,14,72,10,13,1228
146,8,0,24,63,15,22,3,23,16,16,21,63,5,10,0,2004,15,7,29,54,20,21,8,20,16,1,10,23,66,6,11,1462
137,10,1,21,52,15,19,5,6,3,9,23,46,3,11,0,2005,9,6,27,39,20,16,6,29,19,1,5,15,57,5,8,1175
139,9,5,21,62,13,20,4,21,11,18,19,55,7,10,0,2005,8,6,30,50,21,19,8,21,17,1,13,22,63,8,16,1280
136,8,4,16,62,13,22,4,10,6,16,20,54,14,16,0,2006,15,8,26,49,15,24,5,20,17,1,9,11,70,9,20,1380
138,10,3,20,68,18,21,5,19,14,19,29,61,8,14,0,2006,12,10,30,44,16,21,6,37,26,1,9,15,74,4,18,1203
136,12,2,24,59,23,26,8,15,10,9,21,70,7,14,0,2008,9,2,27,58,21,25,6,21,15,1,13,17,71,11,15,1125
136,9,4,14,51,15,27,7,5,1,6,21,62,9,18,0,2009,21,3,21,57,20,28,9,25,21,1,17,14,86,6,15,1127
138,8,3,23,50,12,25,3,25,16,13,23,69,5,15,0,2009,9,2,19,53,14,23,7,27,21,1,12,20,74,8,9,1400
137,8,4,15,53,19,17,4,7,6,9,19,44,7,16,0,2010,12,4,28,47,13,24,6,28,19,1,13,12,73,5,14,1115
139,6,1,24,48,12,19,3,16,12,9,18,53,3,11,0,2010,11,5,23,57,17,27,3,17,11,1,11,15,68,4,5,1143
144,12,6,20,54,15,20,4,21,13,7,21,57,7,7,0,2010,11,2,32,55,15,22,6,24,20,1,16,20,70,4,14,1345
146,14,8,20,59,18,27,5,19,12,17,21,71,8,11,0,2010,15,0,20,61,23,22,11,29,23,1,23,15,78,7,11,1124
152,11,4,16,46,12,19,5,19,14,11,12,57,1,10,0,2010,20,1,18,55,25,29,13,9,7,1,11,16,78,5,6,1452
154,7,0,21,58,18,20,6,18,13,14,18,59,4,8,0,2010,12,7,26,52,17,23,5,16,10,1,11,14,61,5,12,1139
137,4,1,20,55,14,19,4,7,3,9,17,45,2,17,0,2011,17,4,29,60,19,32,9,16,14,1,9,11,87,9,9,1214
139,13,0,18,53,21,27,7,11,10,4,23,71,7,7,0,2011,12,2,23,49,20,25,5,25,18,1,10,18,73,1,11,1276
137,14,2,16,52,15,19,9,16,14,10,19,61,7,13,0,2013,17,3,23,46,11,27,4,21,15,1,5,18,73,9,11,1107
139,9,2,26,53,19,16,2,18,16,7,26,50,2,10,0,2013,9,4,31,49,20,19,7,28,21,1,7,20,66,7,9,1166
144,6,4,25,50,12,20,3,24,18,8,24,61,6,11,0,2013,8,5,24,49,18,20,7,26,24,1,5,17,71,3,8,1277
137,13,1,16,66,19,24,6,4,2,12,17,56,6,8,0,2015,28,3,31,54,21,34,10,14,7,1,9,8,85,7,11,1352
139,5,5,20,58,13,19,2,11,9,13,8,49,6,11,0,2015,16,6,28,55,14,30,6,2,2,1,5,12,68,7,9,1361
144,8,4,18,60,16,21,4,15,11,18,21,57,8,15,0,2015,5,4,23,45,9,20,3,26,20,1,8,16,63,6,14,1428
146,8,3,27,50,10,22,2,9,6,8,15,52,1,13,0,2015,10,2,22,56,19,21,8,19,16,1,9,12,66,8,3,1211
152,10,3,24,55,20,22,7,16,10,9,28,61,4,14,0,2015,10,4,29,50,10,26,2,37,27,1,7,18,81,9,8,1277
154,13,1,24,61,21,25,7,10,6,11,15,63,3,5,0,2015,7,6,27,51,11,24,4,20,16,1,6,13,68,4,5,1458
136,10,3,21,68,26,30,11,19,14,13,33,85,5,9,0,2016,11,8,28,54,15,29,4,43,31,1,12,18,93,4,10,1423
138,13,5,22,65,23,25,4,13,10,20,16,64,5,11,0,2016,12,7,23,50,23,23,11,16,14,1,5,18,71,6,10,1463
143,11,7,22,65,26,25,10,8,5,11,18,65,6,14,0,2003,14,5,29,67,12,29,1,17,10,0,18,16,69,4,17,1242
152,11,3,20,71,22,29,6,23,14,17,24,78,8,9,0,2004,9,6,31,52,11,26,6,32,21,0,13,20,79,5,18,1163
144,8,2,24,51,23,22,7,24,17,9,22,68,11,22,0,2005,12,0,22,65,14,27,5,23,19,0,16,22,78,13,16,1277
143,12,5,27,65,26,18,5,16,13,17,18,54,9,16,0,2006,14,9,29,61,7,24,2,23,12,0,16,16,62,7,15,1261
136,11,6,24,58,11,27,3,32,20,18,19,77,5,17,0,2007,14,1,17,61,16,26,9,24,18,0,14,26,79,13,11,1433
138,6,3,20,50,22,19,5,32,24,7,23,67,6,13,0,2008,12,5,28,62,11,25,4,22,19,0,19,25,73,1,17,1452
143,7,2,26,60,27,16,5,24,17,8,24,54,8,11,0,2009,9,5,36,64,18,27,4,23,19,0,13,23,77,5,12,1437
143,10,6,18,58,14,27,5,22,18,9,20,77,5,11,0,2011,15,3,24,63,15,34,9,21,16,0,16,21,93,7,12,1112
137,12,3,29,58,26,24,6,23,16,13,26,70,4,13,0,2012,12,1,25,52,18,22,6,37,25,0,9,22,75,7,8,1250
146,11,2,20,52,16,19,4,28,21,11,23,63,4,12,0,2013,8,9,26,55,13,29,2,36,25,0,11,23,85,10,8,1257
137,15,1,19,62,37,22,15,13,12,16,22,71,6,12,0,2014,16,0,24,45,13,25,5,28,23,0,3,15,78,3,8,1273
143,12,3,27,59,22,26,7,15,9,5,19,68,4,8,0,2016,22,5,30,65,23,32,10,17,8,0,12,17,82,3,8,1332
136,14,1,22,59,18,26,6,11,6,13,20,64,5,17,0,2005,11,4,22,51,11,26,2,26,18,0,9,11,72,9,14,1246
136,14,1,10,59,22,28,6,6,3,6,13,65,12,16,0,2007,24,6,27,57,13,37,6,11,6,0,11,8,86,7,22,1314
137,14,1,11,57,31,22,12,16,13,8,21,69,8,7,0,2014,17,7,29,53,7,32,0,24,16,0,14,14,80,2,14,1242
137,19,2,15,59,19,21,3,13,11,12,15,56,8,14,0,2004,15,5,26,55,6,30,2,16,13,0,11,16,75,12,15,1329
136,6,2,18,64,28,26,9,15,13,10,21,74,3,9,0,2015,10,3,26,48,23,25,11,32,23,0,10,18,84,5,14,1207
137,7,4,25,60,10,24,5,28,20,13,20,73,12,15,0,2003,13,9,29,69,23,29,6,20,12,0,19,19,76,8,19,1448
137,14,3,21,74,23,29,6,20,13,17,14,77,11,6,0,2004,22,11,33,62,32,29,13,11,9,0,12,19,80,3,17,1153
137,12,3,24,75,22,23,4,24,12,20,17,62,6,9,0,2009,16,3,38,55,19,24,7,23,17,0,9,16,72,5,18,1338
136,11,1,25,64,17,23,4,37,21,15,23,71,11,14,0,2010,27,11,33,60,33,31,15,34,23,0,11,24,100,8,14,1246
136,11,3,27,57,16,23,4,11,5,15,19,55,6,17,0,2005,16,2,22,54,21,23,6,21,15,0,8,13,67,8,8,1228
134,16,1,24,70,23,23,8,18,11,9,26,65,9,9,0,2016,27,4,42,57,23,34,8,34,20,0,10,18,96,6,18,1195
137,15,4,28,64,27,24,7,20,13,11,33,68,6,14,0,2013,15,3,32,49,15,21,6,44,30,1,7,18,78,5,13,1207
139,16,6,20,61,23,27,8,13,9,14,11,71,10,17,0,2013,21,5,22,59,18,33,7,12,8,1,9,13,81,13,13,1361
134,16,1,24,70,23,23,8,18,11,9,26,65,9,9,0,2016,27,4,42,57,23,34,8,34,20,1,10,18,96,6,18,1192
144,11,3,22,44,11,20,4,11,6,6,20,50,7,20,0,2013,12,3,20,57,15,22,4,23,14,0,15,11,62,11,10,1196
136,10,5,28,58,11,25,2,24,15,15,19,67,6,14,0,2016,13,10,23,73,21,31,7,19,14,0,18,19,83,8,7,1314
137,10,4,25,57,18,19,6,18,11,12,16,55,1,16,0,2003,24,3,31,61,28,32,13,14,8,1,9,15,85,6,10,1358
137,8,5,23,46,18,18,9,26,17,10,21,62,8,20,0,2005,15,8,21,54,23,21,7,19,18,1,11,21,67,11,16,1325
136,8,3,24,55,20,19,9,6,3,7,17,50,7,16,0,2006,21,7,31,59,25,29,10,10,8,1,8,9,76,8,11,1375
138,10,3,19,61,20,22,7,17,9,14,18,60,6,11,0,2006,17,7,31,56,20,30,8,19,14,1,10,19,82,6,10,1454
144,15,4,19,54,21,21,5,8,6,13,16,53,8,12,0,2006,7,8,22,45,13,19,5,17,14,1,9,14,57,4,12,1207
146,8,6,14,73,23,18,4,27,22,26,24,62,6,6,0,2006,14,8,34,54,17,22,4,31,27,1,19,22,75,2,16,1437
152,6,2,16,56,11,23,2,14,10,11,15,58,8,11,0,2006,8,4,24,53,25,23,12,19,15,1,16,12,73,5,15,1206
154,11,1,26,61,17,22,3,14,10,14,22,57,3,12,0,2006,21,10,26,58,19,26,6,20,15,1,9,13,73,7,6,1417
137,10,1,12,69,22,25,6,14,13,7,20,69,8,8,0,2007,27,6,38,73,28,43,10,27,16,1,24,13,112,5,12,1238
139,15,1,17,59,17,28,5,13,6,11,23,67,12,12,0,2007,11,4,24,42,18,21,5,31,27,1,7,14,74,7,15,1345
144,8,0,14,50,19,20,7,13,10,11,25,57,7,9,0,2007,9,6,21,34,19,17,8,28,23,1,6,16,65,1,13,1139
146,13,2,16,58,22,27,8,16,15,8,30,77,8,13,0,2007,10,5,24,48,24,23,11,43,28,1,15,14,85,5,18,1332
152,12,0,20,64,23,25,5,13,11,6,26,66,6,3,0,2007,10,6,35,45,22,24,9,31,19,1,8,17,76,2,16,1417
154,10,4,18,64,23,30,4,17,11,10,20,75,11,7,0,2007,11,3,28,53,18,26,10,25,22,1,10,19,84,5,15,1326
136,8,3,18,47,19,17,5,18,12,8,17,51,7,17,0,2011,22,2,26,53,23,29,8,17,13,1,9,15,79,11,12,1364
138,12,5,21,55,13,23,3,25,16,14,14,65,4,8,0,2011,13,4,24,54,14,27,6,17,13,1,8,18,73,2,8,1417
143,13,1,30,71,37,25,10,16,14,12,19,74,11,12,1,2011,23,5,35,65,34,31,11,22,10,1,10,12,83,8,15,1140
137,12,1,21,47,18,18,3,10,6,2,15,45,5,13,0,2012,11,0,30,53,23,28,4,17,11,1,9,10,71,6,12,1438
139,9,3,17,66,24,18,4,13,10,14,21,50,3,8,0,2012,13,4,35,53,28,28,10,25,18,1,13,12,84,4,13,1313
143,11,3,26,65,21,20,6,18,12,15,17,58,8,9,0,2012,15,9,32,59,27,24,7,15,13,1,10,15,68,5,11,1266
137,9,3,20,50,16,18,3,11,8,6,19,47,2,15,0,2013,13,2,27,61,21,29,7,23,14,1,16,12,79,10,8,1322
139,11,1,16,50,18,20,8,22,16,13,25,64,4,14,0,2013,13,3,20,37,20,21,10,36,26,1,6,18,78,7,14,1278
144,11,3,22,44,11,20,4,11,6,6,20,50,7,20,0,2013,12,3,20,57,15,22,4,23,14,1,15,11,62,11,10,1195
136,10,2,21,51,13,20,4,14,11,6,15,55,4,10,0,2014,11,5,25,49,12,25,3,18,14,1,5,14,67,7,10,1107
138,14,2,21,51,17,19,4,6,3,10,12,45,4,11,0,2014,9,5,24,58,20,25,5,9,6,1,14,7,61,10,6,1338
143,12,4,22,64,18,27,3,15,11,8,19,68,8,8,0,2014,22,5,30,58,21,29,8,18,13,1,10,15,79,4,12,1417
145,11,5,21,48,18,19,8,8,6,5,19,52,5,9,0,2014,10,5,25,48,15,18,5,28,21,1,12,10,62,5,7,1173
139,9,1,14,43,21,16,5,12,9,8,20,46,2,14,0,2003,15,0,21,45,16,25,6,18,12,0,9,18,68,5,10,1277
136,4,4,22,45,13,21,3,22,15,4,18,60,4,14,0,2004,10,4,23,60,15,26,6,21,17,0,13,21,75,8,10,1264
139,9,4,24,52,18,20,7,25,18,10,30,65,6,19,0,2005,10,4,27,58,11,24,3,35,25,0,17,23,76,11,14,1437
136,15,4,25,78,32,34,10,19,14,20,24,92,7,21,2,2010,11,2,23,65,23,32,10,32,25,0,10,17,99,12,12,1140
145,10,3,26,57,14,25,3,22,18,8,24,71,6,7,1,2011,8,1,25,60,33,24,9,27,17,0,16,20,74,2,10,1139
145,17,3,26,48,20,24,8,18,12,6,15,68,4,14,0,2012,11,3,22,60,16,27,6,15,12,0,8,21,72,6,6,1257
146,13,3,27,56,10,23,2,17,11,9,11,59,7,15,0,2013,18,5,26,65,19,30,10,13,9,0,9,13,79,13,11,1276
152,3,1,15,49,10,19,1,20,14,12,14,53,3,11,0,2014,12,4,23,43,12,24,5,13,10,0,5,16,63,6,13,1163
134,12,3,21,61,30,18,7,19,14,21,20,57,7,17,0,2004,11,2,25,63,20,25,6,23,16,1,19,15,72,8,12,1250
137,13,1,17,66,30,30,11,12,5,12,19,76,13,17,0,2004,23,5,29,62,28,35,11,23,15,0,13,15,96,8,17,1246
134,13,3,27,64,17,29,4,18,7,15,26,69,6,13,0,2007,10,2,25,62,27,24,8,28,21,0,17,17,77,5,11,1310
137,12,1,21,51,25,16,9,19,9,12,19,50,6,11,0,2011,14,10,29,43,15,20,4,20,13,1,6,17,57,6,13,1401
139,12,5,23,62,30,19,7,19,12,15,25,57,4,8,0,2011,15,9,31,48,19,22,9,25,18,1,9,18,71,2,12,1323
